SALE_CD,REAL_POWER,EQUIP_ID,MOLD_POS,IN_RADIUS,OUT_RADIUS,MFG_DT,CP,AX,MOLD_IN_TOP,MOLD_IN_BOT,MOLD_OUT_TOP,MOLD_OUT_BOT,variable,y
SALES 40,-7,EQUIP31,8,-6.4883,7.861,12/14/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+3,CORE1 A 05. M1250,CORE1 A 08. C-12,POWER1,-7
SALES 20,0,EQUIP7,1,-6.4929,6.5776,2/18/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+3,CORE1 A 05. M0050,CORE1 A 8A. C-00,POWER1,-0.12
SALES 20,-1,EQUIP12,3,-6.4766,6.7175,2/15/2020,,,CORE1 A 02. 0570,CORE1 A 01. P1+2,CORE1 A 05. M0200,CORE1 A 8A. A-02,POWER1,-1.12
SALES 20,-2,EQUIP12,1,-6.4955,6.8316,2/14/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0325,CORE1 A 8A. B-03,POWER1,-2
SALES 20,-2,EQUIP1,2,-6.5207,6.8944,10/26/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0375,CORE1 A 08. D-03,POWER1,-1.87
SALES 20,-2.5,EQUIP1,5,-6.4998,6.9239,10/26/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0425,CORE1 A 08. B-04,POWER1,-2.5
SALES 20,-3.25,EQUIP12,5,-6.4758,7.0806,2/1/2020,,,CORE1 A 02. 0570,CORE1 A 01. P1+3,CORE1 A 05. M0575,CORE1 A 08. D-05,POWER1,-3.25
SALES 20,-3.5,EQUIP1,2,-6.3638,6.9757,10/23/2020,,,CORE1 B 02. 0550,CORE1 B 01. P4+2,CORE1 B 02. M0625,CORE1 B 02. B-06,POWER1,-3.5
SALES 20,-4,EQUIP1,5,-6.3751,7.049,10/23/2020,,,CORE1 B 02. 0550,CORE1 B 01. P3+2,CORE1 B 02. M0675,CORE1 B 02. D-06,POWER1,-4
SALES 20,-4.25,EQUIP1,7,-6.3768,7.0755,10/19/2020,,,CORE1 B 02. 0550,CORE1 B 01. P3+2,CORE1 B 02. M0700,CORE1 B 02. A-07,POWER1,-4.25
SALES 20,-4.25,EQUIP1,7,-6.3814,7.0698,10/23/2020,,,CORE1 B 02. 0550,CORE1 B 01. P3+2,CORE1 B 02. M0700,CORE1 B 02. A-07,POWER1,-4.25
SALES 20,-5.5,EQUIP12,3,-6.3504,7.3083,2/12/2020,,,CORE1 B 02. 0550,CORE1 B 01. P1+2,CORE1 B 02. M0925,CORE1 B 02. B-09,POWER1,-5.5
SALES 20,-6,EQUIP11,3,-6.3331,7.3836,10/22/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+0,CORE1 B 02. M1000,CORE1 B 02. A-10,POWER1,-6
SALES 20,-6.5,EQUIP12,8,-6.3651,7.4667,2/12/2020,,,CORE1 B 02. 0550,CORE1 B 01. OK+2,CORE1 B 02. M1050,CORE1 B 02. C-10,POWER1,-6.25
SALES 20,-6.5,EQUIP11,5,-7.3384,7.3958,10/23/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+0,CORE1 B 02. M1050,CORE1 B 02. C-10,POWER1,-6.25
SALES 20,-9,EQUIP11,7,-7.3466,7.4251,10/23/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+0,CORE1 B 02. M1500,CORE1 B 02. A-15,POWER1,-9.25
SALES 20,-9,EQUIP11,8,-6.3583,7.9661,10/21/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+0,CORE1 B 02. M1450,CORE1 B 02. C-14,POWER1,-8.75
SALES 48,-1.5,EQUIP6,5,-6.3698,6.9968,1/7/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+3,CORE1 A 05. M0300,CORE1 A 8A. A-03,POWER1,-1.5
SALES 48,-1.5,EQUIP6,7,-6.3576,7.2579,1/7/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+3,CORE1 A 05. M0325,CORE1 A 8A. B-03,POWER1,-1.5
SALES 48,-5,EQUIP11,3,-6.3458,7.1371,10/28/2020,,,CORE1 B 02. 0550,CORE1 B 01. P3+1,CORE1 B 02. M0775,CORE1 B 02. D-07,POWER1,-4.87
SALES 69,0,EQUIP28,6,-7.3346,7.4543,10/14/2020,,,CORE3 C 01. 0660,CORE3 C 01. P2+3,CORE3 C 03. M0075,CORE3 C 03. D-00,POWER1,0.12
SALES 69,-1,EQUIP2,2,-7.3426,7.6033,8/27/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1-1,CORE3 C 03. M0200,CORE3 C 03. A-02,POWER1,-1
SALES 69,-3.25,EQUIP2,5,-7.362,7.9524,8/27/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+1,CORE3 C 03. M0475,CORE3 C 03. D-04,POWER1,-3.25
SALES 69,-6.5,EQUIP2,7,-7.3425,0,8/14/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1-1,CORE3 C 03. M0950,CORE3 C 03. C-09,POWER1,-6.5
SALES 70,0,EQUIP27,5,-7.3376,7.4627,1/16/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+0,CORE3 C 03. M0100,CORE3 C 03. A-01,POWER1,0
SALES 70,0,EQUIP28,2,-7.3268,7.4431,10/17/2020,,,CORE3 C 01. 0660,CORE3 C 01. P2+1,CORE3 C 03. M0050,CORE3 C 03. C-00,POWER1,-0.12
SALES 70,0,EQUIP28,5,-7.3216,7.4414,10/17/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+2,CORE3 C 03. M0050,CORE3 C 03. C-00,POWER1,0
SALES 70,-1.25,EQUIP28,6,-7.3318,7.6219,10/17/2020,,,CORE3 C 01. 0660,CORE3 C 01. P2+3,CORE3 C 03. M0225,CORE3 C 03. B-02,POWER1,-1.25
SALES 60,-7,EQUIP11,6,-7.3311,8.6709,1/11/2021,,,CORE3 C 01. 0660,CORE3 C 01. P1+3,CORE3 C 03. M1000,CORE3 C 03. A-10,POWER1,-7.25
SALES 42,0,EQUIP28,1,-7.335,7.3801,2/19/2020,,,CORE2 C 03. 0660,CORE2 C 03. M1+1,CORE2 C 04. M0000,CORE2 C 04. A-00,POWER1,0.12
SALES 42,0,EQUIP28,7,-6.4959,7.1912,2/22/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+1,CORE2 C 04. M0050,CORE2 C 04. C-00,POWER1,0
SALES 42,0,EQUIP1,3,-7.3214,7.4259,9/15/2020,,,CORE2 C 03. 0660,CORE2 C 03. P2+0,CORE2 C 04. M0025,CORE2 C 04. B-00,POWER1,0
SALES 42,-2.75,EQUIP1,8,-7.3306,7.8065,9/13/2020,,,CORE2 C 03. 0660,CORE2 C 03. OK+0,CORE2 C 04. M0375,CORE2 C 04. D-03,POWER1,-2.87
SALES 42,-7,EQUIP37,8,-7.3394,8.7121,2/1/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M1000,CORE2 C 04. A-10,POWER1,-7.12
SALES 7,0,EQUIP3,8,-7.3431,7.4391,3/6/2020,,,CORE2 C 03. 0660,CORE2 C 03. P2-2,CORE2 C 04. P0025,CORE2 C 04. C-00,POWER1,-0.12
SALES 7,0,EQUIP27,3,-7.3246,7.4263,2/5/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0025,CORE2 C 04. B-00,POWER1,0
SALES 7,-2,EQUIP1,4,-7.3126,7.6991,1/8/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0275,CORE2 C 04. D-02,POWER1,-2
SALES 7,-2.25,EQUIP1,7,-7.3375,7.7698,1/9/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0325,CORE2 C 04. B-03,POWER1,-2.25
SALES 7,-4,EQUIP1,4,-7.3132,8.0485,1/9/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0550,CORE2 C 04. C-05,POWER1,-4.12
SALES 7,-4.5,EQUIP1,5,-7.3301,8.1182,1/12/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0725,CORE2 C 04. B-07,POWER1,-4.5
SALES 2,0,EQUIP13,8,-7.3262,7.3918,2/21/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-2,CORE2 C 04. M0000,CORE2 C 04. A-00,POWER1,0
SALES 2,-1.25,EQUIP1,5,-7.3295,7.5581,3/27/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0150,CORE2 C 04. C-01,POWER1,-1.25
SALES 2,-1.5,EQUIP2,1,-7.3273,7.6468,10/5/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0225,CORE2 C 04. B-02,POWER1,-1.5
SALES 2,-2.75,EQUIP2,4,-7.3647,7.7841,10/5/2020,,,CORE2 C 03. 0660,CORE2 C 03. OK+0,CORE2 C 04. M0300,CORE2 C 04. A-03,POWER1,-2.62
SALES 2,-3,EQUIP1,2,-7.3377,7.8807,3/23/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0425,CORE2 C 04. B-04,POWER1,-3
SALES 2,-4.25,EQUIP1,3,-7.3272,8.0839,9/9/2020,,,CORE2 C 03. 0660,CORE2 C 03. P2+0,CORE2 C 04. M0575,CORE2 C 04. D-05,POWER1,-4.25
SALES 2,-4.5,EQUIP1,4,-7.3297,8.0938,9/9/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0575,CORE2 C 04. D-05,POWER1,-4.5
SALES 2,-10,EQUIP11,6,-7.3296,9.2957,8/10/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M1350,CORE2 C 04. C-13,POWER1,-9.87
SALES 13,0,EQUIP14,7,-7.3343,7.419,9/4/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0025,CORE2 C 04. B-00,POWER1,0
SALES 13,0,EQUIP1,8,-7.322,7.4348,2/14/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0050,CORE2 C 04. C-00,POWER1,-0.12
SALES 13,0,EQUIP1,1,-7.3327,7.4139,2/22/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0025,CORE2 C 04. B-00,POWER1,0.12
SALES 13,-2.5,EQUIP11,5,-7.348,7.796,8/7/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+1,CORE2 C 04. M0350,CORE2 C 04. C-03,POWER1,-2.5
SALES 13,-2.5,EQUIP11,7,-7.331,7.795,8/7/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+1,CORE2 C 04. M0350,CORE2 C 04. C-03,POWER1,-2.5
SALES 13,-4.5,EQUIP11,2,-7.3297,8.1146,8/7/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0600,CORE2 C 04. A-06,POWER1,-4.5
SALES 13,-4.5,EQUIP3,2,-7.3322,8.0785,10/23/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0575,CORE2 C 04. D-05,POWER1,-4.5
SALES 13,-4.75,EQUIP1,4,-7.3211,8.1108,9/2/2020,,,CORE2 C 03. 0660,CORE2 C 03. OK-1,CORE2 C 04. M0600,CORE2 C 04. A-06,POWER1,-4.75
SALES 13,-5,EQUIP3,4,-7.3228,8.1584,10/22/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0625,CORE2 C 04. B-06,POWER1,-5
SALES 13,-5,EQUIP3,5,-7.3244,8.2116,10/23/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+1,CORE2 C 04. M0675,CORE2 C 04. D-06,POWER1,-5
SALES 13,-5,EQUIP3,5,-7.3415,8.2164,10/23/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+1,CORE2 C 04. M0675,CORE2 C 04. D-06,POWER1,-5
SALES 13,-6,EQUIP3,8,-7.3295,8.3986,10/23/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0800,CORE2 C 04. A-08,POWER1,-5.87
SALES 13,-6,EQUIP1,6,-7.3376,8.4531,9/3/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0825,CORE2 C 04. B-08,POWER1,-6
SALES 13,-6,EQUIP3,7,-7.3097,8.3515,10/23/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0775,CORE2 C 04. D-07,POWER1,-6
SALES 13,-6,EQUIP11,3,-7.3273,8.4826,2/18/2020,,,CORE2 C 03. 0660,CORE2 C 03. P2-1,CORE2 C 04. M0850,CORE2 C 04. C-08,POWER1,-6.25
SALES 13,-7,EQUIP1,7,-7.3892,8.6027,9/5/2020,,,CORE2 C 03. 0660,CORE2 C 03. OK+0,CORE2 C 04. M0925,CORE2 C 04. B-09,POWER1,-7
SALES 13,-7.5,EQUIP11,6,-7.3255,8.7131,2/14/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M1000,CORE2 C 04. A-10,POWER1,-7.5
SALES 13,-8.5,EQUIP2,2,-7.3282,8.9479,9/26/2020,,,CORE2 C 03. 0660,CORE2 C 03. P2+0,CORE2 C 04. M1150,CORE2 C 04. C-11,POWER1,-8.25
SALES 13,-9.5,EQUIP2,8,-7.3322,9.2045,9/26/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M1300,CORE2 C 04. A-13,POWER1,-9.5
SALES 71,0,EQUIP2,2,-7.3496,7.4472,9/3/2020,,,CORE3 C 01. 0660,CORE3 C 01. P3+0,CORE3 C 03. M0075,CORE3 C 03. D-00,POWER1,0
SALES 71,0,EQUIP35,1,-7.3564,7.3905,2/20/2020,,,CORE3 C 01. 0660,CORE3 C 01. P2+0,CORE3 C 03. M0025,CORE3 C 03. B-00,POWER1,0
SALES 71,0,EQUIP2,3,-7.3337,7.4506,8/30/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1-1,CORE3 C 03. M0075,CORE3 C 03. D-00,POWER1,0
SALES 71,0,EQUIP2,2,-7.3415,8.0158,8/31/2020,,,CORE3 C 01. 0660,CORE3 C 01. P3+0,CORE3 C 03. M0075,CORE3 C 03. D-00,POWER1,0
SALES 71,0,EQUIP35,4,-7.3646,7.4469,2/23/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+0,CORE3 C 03. M0050,CORE3 C 03. C-00,POWER1,-0.25
SALES 71,0,EQUIP35,4,-7.3646,7.4469,2/20/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+0,CORE3 C 03. M0050,CORE3 C 03. C-00,POWER1,-0.12
SALES 71,0,EQUIP29,4,-7.3414,7.3962,10/19/2020,,,CORE3 C 01. 0660,CORE3 C 01. OK+2,CORE3 C 03. M0025,CORE3 C 03. B-00,POWER1,0.12
SALES 71,0,EQUIP29,8,-7.3433,7.4274,10/19/2020,,,CORE3 C 01. 0660,CORE3 C 01. OK+2,CORE3 C 03. M0025,CORE3 C 03. B-00,POWER1,0
SALES 71,0,EQUIP1,8,-7.3376,7.4476,8/13/2020,,,CORE3 C 01. 0660,CORE3 C 01. OK+1,CORE3 C 03. M0050,CORE3 C 03. C-00,POWER1,0
SALES 71,0,EQUIP1,8,-7.3332,7.434,8/14/2020,,,CORE3 C 01. 0660,CORE3 C 01. OK+1,CORE3 C 03. M0050,CORE3 C 03. C-00,POWER1,0
SALES 71,0,EQUIP1,2,-7.3205,7.457,8/14/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+2,CORE3 C 03. M0075,CORE3 C 03. D-00,POWER1,-0.12
SALES 71,0,EQUIP1,5,-7.3351,7.4438,8/14/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+3,CORE3 C 03. M0075,CORE3 C 03. D-00,POWER1,-0.12
SALES 71,0,EQUIP29,4,-7.3285,7.7721,10/22/2020,,,CORE3 C 01. 0660,CORE3 C 01. OK+2,CORE3 C 03. M0025,CORE3 C 03. B-00,POWER1,0.12
SALES 71,-1,EQUIP29,3,-7.3296,7.5531,10/22/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+2,CORE3 C 03. M0175,CORE3 C 03. D-01,POWER1,-1
SALES 71,-1.5,EQUIP29,6,-7.3411,7.644,10/22/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+2,CORE3 C 03. M0250,CORE3 C 03. C-02,POWER1,-1.5
SALES 71,-1.5,EQUIP1,1,-7.3487,7.6601,8/10/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+4,CORE3 C 03. M0250,CORE3 C 03. C-02,POWER1,-1.5
SALES 71,-1.5,EQUIP2,4,-7.3401,7.6551,9/8/2020,,,CORE3 C 01. 0660,CORE3 C 01. P2+1,CORE3 C 03. M0250,CORE3 C 03. C-02,POWER1,-1.37
SALES 71,-2.5,EQUIP2,3,-7.3453,7.8524,9/11/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1-1,CORE3 C 03. M0400,CORE3 C 03. A-04,POWER1,-2.62
SALES 71,-2.75,EQUIP29,4,-7.3297,7.831,10/23/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+2,CORE3 C 03. M0400,CORE3 C 03. A-04,POWER1,-2.87
SALES 71,-3.25,EQUIP2,8,-7.3432,7.9149,9/11/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1-1,CORE3 C 03. M0450,CORE3 C 03. C-04,POWER1,-3.25
SALES 71,-4.25,EQUIP29,7,-7.3309,8.0903,10/23/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+2,CORE3 C 03. M0600,CORE3 C 03. A-06,POWER1,-4.25
SALES 71,-4.5,EQUIP2,5,0,8.1725,9/14/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1+0,CORE3 C 03. M0650,CORE3 C 03. C-06,POWER1,-4.5
SALES 71,-4.5,EQUIP29,4,-7.3278,8.123,10/28/2020,,,CORE3 C 01. 0660,CORE3 C 01. P2+3,CORE3 C 03. M0625,CORE3 C 03. B-06,POWER1,-4.5
SALES 71,-5,EQUIP2,2,-7.332,8.2521,9/14/2020,,,CORE3 C 01. 0660,CORE3 C 01. P1-1,CORE3 C 03. M0700,CORE3 C 03. A-07,POWER1,-5
SALES 71,-7,EQUIP1,7,-6.3594,8.3604,8/12/2020,,,CORE3 C 01. 0660,CORE3 C 01. OK+3,CORE3 C 03. M1000,CORE3 C 03. A-10,POWER1,-7.12
SALES 30,0,EQUIP11,3,-6.4974,6.6565,9/17/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0075,CORE1 A 8A. D-00,POWER1,-0.12
SALES 30,-0.5,EQUIP28,2,-6.4784,6.6671,9/16/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+3,CORE1 A 05. M0125,CORE1 A 8A. B-01,POWER1,-0.5
SALES 30,-3.75,EQUIP26,1,-6.498,7.1302,2/1/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+3,CORE1 A 05. M0625,CORE1 A 08. B-06,POWER1,-3.75
SALES 30,-6,EQUIP25,5,-6.3506,7.3874,1/9/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+2,CORE1 B 02. M1000,CORE1 B 02. A-10,POWER1,-6
SALES 51,-7,EQUIP26,7,-6.3564,7.1084,2/21/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+2,CORE1 B 02. M1200,CORE1 B 02. A-12,POWER1,-7.12
SALES 119,-7.5,EQUIP11,3,-6.3546,7.6415,10/9/2020,,,CORE1 B 02. 0550,CORE1 B 01. P3+0,CORE1 B 02. M1200,CORE1 B 02. A-12,POWER1,-7.25
SALES 119,-8,EQUIP11,7,-6.352,7.7713,10/10/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+0,CORE1 B 02. M1300,CORE1 B 02. A-13,POWER1,-7.87
SALES 8,-2.75,EQUIP25,4,-6.4698,6.9259,1/3/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0400,CORE1 A 08. A-04,POWER1,-2.75
SALES 8,-5.5,EQUIP11,8,-6.3588,7.2231,10/10/2020,,,CORE1 B 02. 0550,CORE1 B 01. P3+0,CORE1 B 02. M0850,CORE1 B 02. C-08,POWER1,-5.5
SALES 5,-1.75,EQUIP11,5,-6.4997,6.8102,9/2/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0275,CORE1 A 8A. D-02,POWER1,-1.5
SALES 5,-1.75,EQUIP11,7,-6.5009,6.8373,9/2/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0325,CORE1 A 8A. B-03,POWER1,-1.87
SALES 0,-3.5,EQUIP18,4,-6.4487,7.0295,2/1/2020,,,CORE1 A 02. 0570,CORE1 A 01. OK+1,CORE1 A 05. M0500,CORE1 A 08. A-05,POWER1,-3.37
SALES 0,-3.5,EQUIP11,2,-6.4941,7.1214,9/5/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0600,CORE1 A 08. A-06,POWER1,-3.5
SALES 0,-3.75,EQUIP11,5,-6.4977,7.1542,9/5/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0650,CORE1 A 08. C-06,POWER1,-3.75
SALES 0,-4.75,EQUIP18,7,-6.3531,7.1864,2/4/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+1,CORE1 B 02. M0825,CORE1 B 02. B-08,POWER1,-4.75
SALES 103,-2,EQUIP25,4,-7.3352,7.6923,10/31/2020,,,CORE2 C 03. 0660,CORE2 C 03. OK+3,CORE2 C 04. M0275,CORE2 C 04. D-02,POWER1,-2.12
SALES 104,0,EQUIP25,2,-7.3323,7.3878,10/31/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+1,CORE2 C 04. M0025,CORE2 C 04. B-00,POWER1,-0.25
SALES 61,-3.75,EQUIP14,6,-6.5055,7.1485,11/5/2020,,,CORE5 E 01. 0590,CORE5 E 01. M1+0,CORE5 E 02. M0600,CORE5 E 02. A-06,POWER1,-3.75
SALES 61,-4.75,EQUIP14,8,-6.3102,7.1172,11/3/2020,,,CORE5 F 01. 0570,CORE5 F 01. OK+0,CORE5 F 02. M0775,CORE5 F 02. D-07,POWER1,-4.87
SALES 120,-6.5,EQUIP26,7,-6.3705,6.6926,8/10/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+1,CORE1 B 02. M1050,CORE1 B 02. C-10,POWER1,-6.5
SALES 72,-1.75,EQUIP14,8,-6.5191,6.8158,11/6/2020,,,CORE5 E 01. 0590,CORE5 E 01. M1+0,CORE5 E 02. M0275,CORE5 E 02. D-02,POWER1,-1.62
SALES 72,-5,EQUIP14,5,-6.3028,7.1329,11/10/2020,,,CORE5 F 01. 0570,CORE5 F 01. OK+0,CORE5 F 02. M0800,CORE5 F 02. A-08,POWER1,-4.87
SALES 55,-8,EQUIP14,8,-6.3526,7.7692,10/13/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+1,CORE1 B 02. M1300,CORE1 B 02. A-13,POWER1,-7.75
SALES 63,-4.5,EQUIP2,3,-6.3421,7.0333,10/17/2020,,,CORE1 B 02. 0550,CORE1 B 01. P3+0,CORE1 B 02. M0700,CORE1 B 02. A-07,POWER1,-4.37
SALES 34,0,EQUIP14,8,-6.4749,6.5603,2/3/2020,,,CORE1 A 02. 0570,CORE1 A 01. M1+2,CORE1 A 05. M0025,CORE1 A 8A. B-00,POWER1,0.12
SALES 34,0,EQUIP14,4,-6.4757,6.5679,2/3/2020,,,CORE1 A 02. 0570,CORE1 A 01. OK+2,CORE1 A 05. M0025,CORE1 A 8A. B-00,POWER1,-0.12
SALES 34,-1.75,EQUIP2,6,-7.3138,7.7319,10/21/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0300,CORE1 A 8A. A-03,POWER1,-2
SALES 34,-5,EQUIP2,4,-6.3618,7.1386,10/23/2020,,,CORE1 B 02. 0550,CORE1 B 01. P3+0,CORE1 B 02. M0775,CORE1 B 02. D-07,POWER1,-4.87
SALES 105,-1.25,EQUIP28,3,-6.4902,6.7459,11/18/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0450,CORE1 A 08. C-04,POWER1,-1.25
SALES 105,-4,EQUIP28,3,-6.3573,7.033,9/22/2020,,,CORE1 B 02. 0550,CORE1 B 01. P3+2,CORE1 B 02. M0675,CORE1 B 02. D-06,POWER1,-4
SALES 107,-3.5,EQUIP29,8,-6.4997,7.108,8/7/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0500,CORE1 A 08. A-06,POWER1,-3.5
SALES 107,-9.5,EQUIP29,1,-7.3308,7.5845,8/13/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+1,CORE1 B 02. M1600,CORE1 B 02. A-16,POWER1,-9.62
SALES 122,0,EQUIP14,2,-6.4747,6.5713,12/9/2020,,,CORE1 A 02. 0570,CORE1 A 01. P1+3,CORE1 A 05. M0025,CORE1 A 8A. B-00,POWER1,0
SALES 122,0,EQUIP14,5,-6.4626,7.4621,12/9/2020,,,CORE1 A 02. 0570,CORE1 A 01. P1+2,CORE1 A 05. M0000,CORE1 A 8A. A-00,POWER1,-0.12
SALES 123,0,EQUIP13,1,-7.332,7.3626,12/29/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0025,CORE2 C 04. B-00,POWER1,0
SALES 75,-3.25,EQUIP13,3,-7.3159,7.9183,11/27/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0450,CORE2 C 04. C-04,POWER1,-3.25
SALES 75,-3.75,EQUIP13,6,-7.3315,8.0037,11/27/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0525,CORE2 C 04. B-05,POWER1,-3.75
SALES 75,-5.75,EQUIP13,4,-7.32,8.3332,11/30/2020,,,CORE2 C 03. 0660,CORE2 C 03. P2+0,CORE2 C 04. M0775,CORE2 C 04. D-07,POWER1,-5.75
SALES 75,-5.75,EQUIP33,1,-7.3255,8.4818,11/26/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0850,CORE2 C 04. C-08,POWER1,-5.75
SALES 110,-6.5,EQUIP1,3,-7.2637,8.5521,6/21/2020,,,CORE2 C 03. 0660,CORE2 C 03. OK-1,CORE2 C 04. M0900,CORE2 C 04. A-09,POWER1,-6.5
SALES 110,-7,EQUIP28,1,-7.3326,8.6787,10/21/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0950,CORE2 C 04. C-09,POWER1,-7
SALES 110,-7,EQUIP28,1,-7.3326,8.6787,10/21/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0950,CORE2 C 04. C-09,POWER1,-7
SALES 110,-7,EQUIP28,1,-7.3326,8.6787,10/21/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0950,CORE2 C 04. C-09,POWER1,-7
SALES 110,-7,EQUIP28,1,-7.3326,8.6787,10/21/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0950,CORE2 C 04. C-09,POWER1,-7
SALES 110,-7.5,EQUIP1,1,-7.3194,8.6601,6/21/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0950,CORE2 C 04. C-09,POWER1,-7.5
